537,16,4,1504858
537,16,8,1519738
537,16,16,1582763
537,16,32,1673139
1022,274,4,1507868
1022,274,8,1522748
1022,274,16,1552089
1022,274,32,1643991
594,75,4,1542918
594,75,8,1557798
594,75,16,1585763
594,75,32,1676289
888,177,4,1501868
888,177,8,1519748
888,177,16,1549089
888,177,32,1676289
201,245,4,1501858
201,245,8,1516738
201,245,16,1546089
201,245,32,1637991
396,210,4,1504868
396,210,8,1519748
396,210,16,1585763
396,210,32,1640991
91,505,4,1504858
91,505,8,1519738
91,505,16,1623813
91,505,32,1676289
488,123,4,1542918
488,123,8,1519748
488,123,16,1549089
488,123,32,1676289
665,34,4,1504858
665,34,8,1519738
665,34,16,1585763
665,34,32,1676289
603,17,4,1542908
603,17,8,1519738
603,17,16,1585763
603,17,32,1712813
317,88,4,1504858
317,88,8,1519738
317,88,16,1623813
317,88,32,1712963
590,15,4,1501868
590,15,8,1519748
590,15,16,1585613
590,15,32,1712813
79,134,4,1539908
79,134,8,1516738
79,134,16,1546089
79,134,32,1673289
1009,480,4,1507858
1009,480,8,1522738
1009,480,16,1552089
1009,480,32,1679289
114,222,4,1501868
114,222,8,1516748
114,222,16,1546089
114,222,32,1673289
298,362,4,1507868
298,362,8,1522748
298,362,16,1552089
298,362,32,1679289
664,400,4,1507868
664,400,8,1600224
664,400,16,1552089
664,400,32,1676289
987,365,4,1545908
987,365,8,1522738
987,365,16,1588763
987,365,32,1679289
461,484,4,1545908
461,484,8,1522738
461,484,16,1552089
461,484,32,1679289
698,73,4,1582344
698,73,8,1483074
698,73,16,1549089
698,73,32,1676289
772,352,4,1545918
772,352,8,1560798
772,352,16,1552089
772,352,32,1679289
717,489,4,1507858
717,489,8,1522738
717,489,16,1588763
717,489,32,1679289
842,140,4,1504868
842,140,8,1519748
842,140,16,1546089
842,140,32,1676289
484,382,4,1545918
484,382,8,1522748
484,382,16,1552089
484,382,32,1679289
200,329,4,1542918
200,329,8,1483074
200,329,16,1549089
200,329,32,1676289
645,406,4,1507858
645,406,8,1522738
645,406,16,1552089
645,406,32,1679289
461,193,4,1504858
461,193,8,1519738
461,193,16,1585763
461,193,32,1673289
835,482,4,1507858
835,482,8,1522738
835,482,16,1588763
835,482,32,1679289
997,480,4,1545908
997,480,8,1522738
997,480,16,1552089
997,480,32,1679289
1009,39,4,1504858
1009,39,8,1519738
1009,39,16,1549089
1009,39,32,1676289
28,259,4,1542918
28,259,8,1519748
28,259,16,1585763
28,259,32,1640841
