0,0,4,1370774
0,0,8,1385654
0,0,16,1451949
0,0,32,1546603
0,1,4,1373774
0,1,8,1388654
0,1,16,1454949
0,1,32,1549603
0,2,4,1373774
0,2,8,1388654
0,2,16,1454949
0,2,32,1549603
0,3,4,1373774
0,3,8,1388654
0,3,16,1454949
0,3,32,1549603
0,4,4,1407846
0,4,8,1388654
0,4,16,1454949
0,4,32,1549603
0,5,4,1407846
0,5,8,1388654
0,5,16,1454949
0,5,32,1549603
0,6,4,1407846
0,6,8,1388654
0,6,16,1454949
0,6,32,1549603
0,7,4,1407846
0,7,8,1388654
0,7,16,1454949
0,7,32,1549603
0,8,4,1373924
0,8,8,1388804
0,8,16,1454949
0,8,32,1549603
0,9,4,1373924
0,9,8,1388804
0,9,16,1454949
0,9,32,1549603
0,10,4,1373924
0,10,8,1388804
0,10,16,1454949
0,10,32,1549603
0,11,4,1373924
0,11,8,1388804
0,11,16,1454949
0,11,32,1549603
0,12,4,1407846
0,12,8,1388804
0,12,16,1454949
0,12,32,1549603
0,13,4,1407846
0,13,8,1388804
0,13,16,1454949
0,13,32,1549603
0,14,4,1407846
0,14,8,1388804
0,14,16,1454949
0,14,32,1549603
0,15,4,1407846
0,15,8,1388804
0,15,16,1454949
0,15,32,1549603
1,0,4,1373774
1,0,8,1388654
1,0,16,1454949
1,0,32,1549603
1,1,4,1376774
1,1,8,1391654
1,1,16,1457949
1,1,32,1552603
1,2,4,1376774
1,2,8,1391654
1,2,16,1457949
1,2,32,1552603
1,3,4,1376774
1,3,8,1391654
1,3,16,1457949
1,3,32,1552603
1,4,4,1410846
1,4,8,1391654
1,4,16,1457949
1,4,32,1552603
1,5,4,1410846
1,5,8,1391654
1,5,16,1457949
1,5,32,1552603
1,6,4,1410846
1,6,8,1391654
1,6,16,1457949
1,6,32,1552603
1,7,4,1410846
1,7,8,1391654
1,7,16,1457949
1,7,32,1552603
1,8,4,1376924
1,8,8,1391804
1,8,16,1457949
1,8,32,1552603
1,9,4,1376924
1,9,8,1391804
1,9,16,1457949
1,9,32,1552603
1,10,4,1376924
1,10,8,1391804
1,10,16,1457949
1,10,32,1552603
1,11,4,1376924
1,11,8,1391804
1,11,16,1457949
1,11,32,1552603
1,12,4,1410846
1,12,8,1391804
1,12,16,1457949
1,12,32,1552603
1,13,4,1410846
1,13,8,1391804
1,13,16,1457949
1,13,32,1552603
1,14,4,1410846
1,14,8,1391804
1,14,16,1457949
1,14,32,1552603
1,15,4,1410846
1,15,8,1391804
1,15,16,1457949
1,15,32,1552603
2,0,4,1373774
2,0,8,1388654
2,0,16,1454949
2,0,32,1549603
2,1,4,1376774
2,1,8,1391654
2,1,16,1457949
